date,Operating_PL,Type,Predicted,Lower,Upper
2012-03-01,-610314.7160904346,history,-610314.716090442,,
2012-04-01,143465.66571178002,history,143465.66571185167,,
2012-05-01,148646.78684392024,history,148646.78684396204,,
2012-06-01,153228.54744429974,history,153228.54744433725,,
2012-07-01,426462.53336380405,history,426462.53336378286,,
2012-08-01,417496.7580335019,history,417496.75803352555,,
2012-09-01,372984.70860269404,history,372984.70860274,,
2012-10-01,-71558.48860520219,history,-71558.48860515232,,
2012-11-01,-68808.88874370251,history,-68808.88874368505,,
2012-12-01,-72095.6226510953,history,-72095.62265109978,,
2013-01-01,-141022.65245700086,history,-141022.65245681757,,
2013-02-01,-128572.05431599503,history,-128572.05431598431,,
2013-03-01,-152541.2932270041,history,-152541.2932269109,,
2013-04-01,616072.657041531,history,616072.6570414973,,
2013-05-01,640388.0759767811,history,640388.0759768137,,
2013-06-01,662865.2669816877,history,662865.2669817125,,
2013-07-01,999647.617702907,history,999647.6177030803,,
2013-08-01,983422.6076233332,history,983422.6076233824,,
2013-09-01,872133.7746737597,history,872133.7746738134,,
2013-10-01,2477122.212307429,history,2477122.212307463,,
2013-11-01,2347398.460688201,history,2347398.460688247,,
2013-12-01,2472423.3270043703,history,2472423.327004364,,
2014-01-01,133661.1750421045,history,133661.1750420789,,
2014-02-01,121855.31302366576,history,121855.31302371659,,
2014-03-01,148028.51193422973,history,148028.51193429893,,
2014-04-01,931607.1565575612,history,931607.1565576488,,
2014-05-01,971128.2165441565,history,971128.2165442032,,
2014-06-01,1012349.6268982821,history,1012349.6268983838,,
2014-07-01,908724.6720473962,history,908724.6720473582,,
2014-08-01,885804.5537389306,history,885804.5537389669,,
2014-09-01,791281.7742136733,history,791281.7742136997,,
2014-10-01,276.5882994725107,history,276.5882994787098,,
2014-11-01,263.558929696836,history,263.5589297397079,,
2014-12-01,280.85277083065336,history,280.8527709029595,,
2015-01-01,959729.4184097312,history,959729.4184097669,,
2015-02-01,859844.4752341523,history,859844.4752341593,,
2015-03-01,1041249.1063561165,history,1041249.1063561107,,
2015-04-01,1615882.4144786985,history,1615882.4144786454,,
2015-05-01,1687932.1784237032,history,1687932.178423694,,
2015-06-01,1741512.4070975983,history,1741512.4070976132,,
2015-07-01,3247583.542952054,history,3247583.5429520253,,
2015-08-01,3167750.414327496,history,3167750.414327516,,
2015-09-01,2800385.0427204496,history,2800385.0427204752,,
2015-10-01,2275719.140607426,history,2275719.140607441,,
2015-11-01,2158444.0773581527,history,2158444.077358205,,
2015-12-01,2297903.782034422,history,2297903.7820344474,,
2016-01-01,1039518.5203744759,history,1039518.5203744957,,
2016-02-01,987163.7732942296,history,987163.7732943281,,
2016-03-01,1135521.7063312945,history,1135521.706331284,,
2016-04-01,1502299.7417250657,history,1502299.7417251,,
2016-05-01,1582071.3567182615,history,1582071.3567183123,,
2016-06-01,1641518.901556673,history,1641518.9015566811,,
2016-07-01,1353933.2342102695,history,1353933.234210339,,
2016-08-01,1319339.2730100688,history,1319339.2730101887,,
2016-09-01,1170315.4927796617,history,1170315.492779684,,
2016-10-01,734534.177499799,history,734534.1774999539,,
2016-11-01,692016.8683077845,history,692016.8683078168,,
2016-12-01,741939.9541924164,history,741939.9541924839,,
2017-01-01,645745.9245347717,history,645745.9245348711,,
2017-02-01,584412.4903488925,history,584412.490348939,,
2017-03-01,695955.5851163358,history,695955.5851163934,,
2017-04-01,1465704.5495077295,history,1465704.5495078291,,
2017-05-01,1538928.8053761772,history,1538928.8053763267,,
2017-06-01,1606725.6451160933,history,1606725.6451162135,,
2017-07-01,1313514.8769558968,history,1313514.876955924,,
2017-08-01,1278690.31568422,history,1278690.315684252,,
2017-09-01,1103328.8073598829,history,1103328.807359981,,
2017-10-01,1704087.3135098948,history,1704087.3135100352,,
2017-11-01,1594718.6502809415,history,1594718.650280989,,
2017-12-01,1702182.0362091637,history,1702182.0362093102,,
2018-01-01,555748.3317010133,history,555748.3317011159,,
2018-02-01,508493.7005787507,history,508493.700578773,,
2018-03-01,601908.9677202359,history,601908.9677203485,,
2018-04-01,1094622.8671322346,history,1094622.8671323024,,
2018-05-01,1150714.3192846847,history,1150714.319284714,,
2018-06-01,1188317.813583081,history,1188317.8135831796,,
2018-07-01,1310174.2422746732,history,1310174.2422748695,,
2018-08-01,1279370.1101515829,history,1279370.1101516776,,
2018-09-01,1140144.6475737442,history,1140144.6475738054,,
2018-10-01,1059572.8350300344,history,1059572.835030078,,
2018-11-01,993472.0095496797,history,993472.0095497143,,
2018-12-01,1052250.1554202859,history,1052250.1554203941,,
2019-01-01,671330.0007900083,history,671330.000789975,,
2019-02-01,608673.6376579622,history,608673.6376580232,,
2019-03-01,728767.3615520295,history,728767.3615521368,,
2019-04-01,1539055.4886543194,history,1539055.488654499,,
2019-05-01,1624166.9994535898,history,1624166.999453708,,
2019-06-01,1664476.5118920906,history,1664476.5118922424,,
2019-07-01,1587527.7418260558,history,1587527.741826158,,
2019-08-01,1562101.611183276,history,1562101.6111833737,,
2019-09-01,1395705.646990668,history,1395705.6469906897,,
2019-10-01,1160395.1928038835,history,1160395.1928039517,,
2019-11-01,1094725.827493716,history,1094725.827493816,,
2019-12-01,1171180.9797024005,history,1171180.979702388,,
2020-01-01,-1912013.956690071,history,-1912013.9566903594,,
2020-02-01,-1753814.2115825776,history,-1753814.2115824313,,
2020-03-01,-1558712.8317273518,history,-1558712.8317264502,,
2020-04-01,-3219656.4738150435,history,-3219656.4738149773,,
2020-05-01,-3664191.974930728,history,-3664191.9749306575,,
2020-06-01,-4228874.55125423,history,-4228874.551254165,,
2020-07-01,-3873287.605651903,history,-3873287.60565172,,
2020-08-01,-4227825.573815773,history,-4227825.573815708,,
2020-09-01,-3652459.8205323233,history,-3652459.820532354,,
2020-10-01,-2145263.257984922,history,-2145263.257984914,,
2020-11-01,-2336072.1498916107,history,-2336072.149891598,,
2020-12-01,-2496568.5921234675,history,-2496568.592123327,,
2021-01-01,-1367743.3394532257,history,-1367743.339452929,,
2021-02-01,-1210609.830166089,history,-1210609.830166089,,
2021-03-01,-1665580.8303806852,history,-1665580.8303814188,,
2021-04-01,299435.2277486612,history,299435.2277485476,,
2021-05-01,333273.2102055384,history,333273.21020540054,,
2021-06-01,367309.5620458005,history,367309.5620457567,,
2021-07-01,929658.1655470183,history,929658.1655470292,,
2021-08-01,915759.6768234369,history,915759.6768235322,,
2021-09-01,843297.157629545,history,843297.157629723,,
2021-10-01,-737138.555537626,history,-737138.5555374984,,
2021-11-01,-728263.9529342381,history,-728263.9529342073,,
2021-12-01,-761840.4915281357,history,-761840.4915281304,,
2022-01-01,-1692738.9750950257,history,-1692738.9750948125,,
2022-02-01,-1572323.7289399637,history,-1572323.7289399998,,
2022-03-01,-1867581.2959650105,history,-1867581.2959649137,,
2022-04-01,711891.1905645793,history,711891.1905651739,,
2022-05-01,748748.0765866169,history,748748.0765869758,,
2022-06-01,756602.7328488039,history,756602.7328490858,,
2022-07-01,821861.2914885869,history,821861.2914886296,,
2022-08-01,809845.0223363979,history,809845.0223364526,,
2022-09-01,746308.6861750152,history,746308.6861750121,,
2022-10-01,690623.0176898504,history,690623.0176899137,,
2022-11-01,667613.0818619691,history,667613.0818621407,,
2022-12-01,694194.9004481805,history,694194.9004483477,,
2023-01-01,-414679.8930613125,history,-414679.8930614994,,
2023-02-01,-382057.6689436213,history,-382057.6689434253,,
2023-03-01,-446863.4379950663,history,-446863.43799475627,,
2023-04-01,1743553.3412865952,history,1743553.3412859691,,
2023-05-01,1834822.045030433,history,1834822.0450304083,,
2023-06-01,1862053.613682972,history,1862053.613682942,,
2023-07-01,561150.9769048007,history,561150.9769045791,,
2023-08-01,559327.6463430643,history,559327.6463431556,,
2023-09-01,512165.376752135,history,512165.37675217877,,
2023-10-01,663665.3591785287,history,663665.3591785013,,
2023-11-01,628733.1556785027,history,628733.1556785374,,
2023-12-01,663556.4851429686,history,663556.4851430597,,
2024-01-01,-543024.9941201565,history,-543024.994119983,,
2024-02-01,-523926.470627902,history,-523926.4706278323,,
2024-03-01,-603822.5352519414,history,-603822.5352519145,,
2024-04-01,1226533.538167697,history,1226533.5381677719,,
2024-05-01,1282169.2218754,history,1282169.2218753889,,
2024-06-01,1318424.239956903,history,1318424.239957026,,
2024-07-01,724784.7512339309,history,724784.7512342264,,
2024-08-01,699384.4941756901,history,699384.4941756959,,
2024-09-01,638620.754590379,history,638620.7545905296,,
2024-10-01,823062.827699944,history,823062.8277003199,,
2024-11-01,781364.0926139274,history,781364.0926140435,,
2024-12-01,836881.0796861285,history,836881.079686171,,
2025-01-01,-76105.61532865165,history,-76105.61532864459,,
2025-02-01,-70987.32206222211,history,-70987.3220620935,,
2025-03-01,-86031.06260912625,history,-86031.06260886605,,
2025-04-01,1294220.109896697,history,1294220.10989647,,
2025-05-01,1340274.964658108,history,1340274.9646582266,,
2025-06-01,1379430.9254451948,history,1379430.9254452984,,
2025-07-01,1379430.9254451948,history,1379430.9254453406,,
2025-08-01,1379430.9254451948,history,1379430.925445495,,
2025-08-31,,forecast,1232332.4627942902,1232120.6136046154,1232544.3119839649
2025-09-30,,forecast,1273833.5246655284,1273550.8116679592,1274116.2376630974
2025-10-31,,forecast,1209313.2065488873,1209011.133779311,1209615.2793184635
2025-11-30,,forecast,1295253.4429225477,1294907.9382861028,1295598.9475589925
2025-12-31,,forecast,1188612.2465922672,1188282.4326364957,1188942.0605480385
2026-01-31,,forecast,1108689.54404527,1108374.2234226787,1109004.8646678613
2026-02-28,,forecast,1343662.2178677963,1343273.984465857,1344050.4512697353
2026-03-31,,forecast,1305588.3953783659,1305207.2719496551,1305969.5188070766
2026-04-30,,forecast,1352065.4108890516,1351668.0561056223,1352462.7656724812
2026-05-31,,forecast,1391583.963078311,1391173.1763905277,1391994.7497660941
2026-06-30,,forecast,1441792.171680767,1441365.3126562943,1442219.0307052396
2026-07-31,,forecast,1379646.6635622177,1379237.407099991,1380055.9200244443
