date,Operating_PL,Predicted,Lower,Upper,Type
2007-10-01,-62769.333333333336,-145995.10498808185,-1865785.7619281174,1573795.5519519537,history
2007-11-01,-62769.333333333336,-440552.8397464489,-2160343.4966864847,1279237.8171935866,history
2007-12-01,-62769.333333333336,-324784.58860662393,-2044575.2455466595,1395006.0683334116,history
2008-01-01,-2421126.0,-325865.1705606198,-2045655.8275006553,1393925.4863794157,history
2008-02-01,-2421126.0,-2170088.349345582,-3889879.0062856176,-450297.69240554655,history
2008-03-01,-2421126.0,-1518095.4851117413,-3237886.142051777,201695.17182829417,history
2008-04-01,-1170546.0,-1365326.2321282667,-3085116.889068302,354464.4248117688,history
2008-05-01,-1170546.0,-855494.1602320368,-2575284.8171720724,864296.4967079987,history
2008-06-01,-1170546.0,-1195725.7345649865,-2915516.391505022,524064.922375049,history
2008-07-01,-488111.0,-1149936.849866,-2869727.5068060355,569853.8070740355,history
2008-08-01,-488111.0,-464275.49021159066,-2184066.147151626,1255515.1667284449,history
2008-09-01,-488111.0,-790667.938736849,-2510458.5956768845,929122.7182031865,history
2008-10-01,-840462.0,-757401.7516967477,-2477192.4086367832,962388.9052432878,history
2008-11-01,-840462.0,-600448.0711375764,-2320238.728077612,1119342.5858024592,history
2008-12-01,-840462.0,-133409.12702463404,-1853199.7839646696,1586381.5299154015,history
2009-01-01,-467535.6666666667,-623985.884545404,-2343776.5414854395,1095804.7723946315,history
2009-02-01,-467535.6666666667,-114740.72860511974,-1834531.3855451553,1605049.9283349158,history
2009-03-01,-467535.6666666667,-90820.90014394093,-1810611.5570839765,1628969.7567960946,history
2009-04-01,-122104.0,25075.113600647543,-1694715.543339388,1744865.770540683,history
2009-05-01,-122104.0,47334.279012257,-1672456.3779277785,1767124.9359522925,history
2009-06-01,-122104.0,-58006.93707352318,-1777797.5940135587,1661783.7198665123,history
2009-07-01,-5267.333333333333,221103.5616911552,-1498687.0952488803,1940894.2186311907,history
2009-08-01,-5267.333333333333,133788.87053188658,-1586001.786408149,1853579.527471922,history
2009-09-01,-5267.333333333333,85883.17030291748,-1633907.486637118,1805673.827242953,history
2009-10-01,-160473.33333333334,47105.75040323753,-1672684.906536798,1766896.407343273,history
2009-11-01,-160473.33333333334,-108563.52108786651,-1828354.178027902,1611227.135852169,history
2009-12-01,-160473.33333333334,34927.2249810677,-1684863.4319589678,1754717.8819211032,history
2010-01-01,-255095.0,133633.98998577218,-1586156.6669542633,1853424.6469258077,history
2010-02-01,-255095.0,-128558.00510783726,-1848348.6620478728,1591232.6518321983,history
2010-03-01,-255095.0,-11344.192328154342,-1731134.8492681899,1708446.4646118812,history
2010-04-01,225927.0,351662.0212076793,-1368128.6357323562,2071452.6781477148,history
2010-05-01,225927.0,409079.2536804362,-1310711.4032595993,2128869.9106204715,history
2010-06-01,225927.0,366202.45019864687,-1353588.2067413887,2085993.1071386824,history
2010-07-01,479773.0,576462.3316516099,-1143328.3252884257,2296252.9885916454,history
2010-08-01,479773.0,613803.1392978879,-1105987.5176421476,2333593.796237923,history
2010-09-01,479773.0,454271.60657213465,-1265519.0503679009,2174062.26351217,history
2010-10-01,42210.0,149075.9926106648,-1570714.6643293707,1868866.6495507003,history
2010-11-01,42210.0,-52468.716558465734,-1772259.3734985013,1667321.9403815698,history
2010-12-01,42210.0,65147.5072130207,-1654643.1497270148,1784938.1641530562,history
2011-01-01,-257920.66666666666,-105915.59670506464,-1825706.2536451002,1613875.0602349709,history
2011-02-01,-257920.66666666666,-532590.2706495146,-2252380.92758955,1187200.386290521,history
2011-03-01,-257920.66666666666,-484474.48560791975,-2204265.1425479553,1235316.1713321158,history
2011-04-01,155423.0,-36334.32896385202,-1756124.9859038875,1683456.3279761835,history
2011-05-01,155423.0,96765.36219451902,-1623025.2947455165,1816556.0191345545,history
2011-06-01,155423.0,2870.101719819475,-1716920.555220216,1722660.758659855,history
2011-07-01,291919.0,193897.6703296434,-1525892.986610392,1913688.327269679,history
2011-08-01,291919.0,248229.33725037705,-1471561.3196896585,1968019.9941904126,history
2011-09-01,291919.0,153176.57533378084,-1566614.0816062547,1872967.2322738164,history
2011-10-01,-194874.66666666666,-272809.6512743938,-1992600.3082144293,1446981.0056656417,history
2011-11-01,-194874.66666666666,-330333.83893843694,-2050124.4958784725,1389456.8180015986,history
2011-12-01,-194874.66666666666,-101133.5913809496,-1820924.2483209851,1618657.065559086,history
2012-01-01,-569308.0,97164.50097755995,-1622626.1559624756,1816955.1579175955,history
2012-02-01,-569308.0,-641294.9196065888,-2361085.5765466243,1078495.7373334467,history
2012-03-01,-569308.0,-399533.24233632674,-2119323.8992763623,1320257.4146037088,history
2012-04-01,148447.0,242780.82319595246,-1477009.833744083,1962571.480135988,history
2012-05-01,148447.0,455214.80947927013,-1264575.8474607654,2175005.4664193057,history
2012-06-01,148447.0,486099.1535921651,-1233691.5033478704,2205889.8105322006,history
2012-07-01,405648.0,317840.2960099913,-1401950.3609300442,2037630.9529500268,history
2012-08-01,405648.0,468677.42494827276,-1251113.2319917628,2188468.0818883083,history
2012-09-01,405648.0,257906.66550627584,-1461883.9914337597,1977697.3224463114,history
2012-10-01,-70821.0,-107078.86164726643,-1826869.518587302,1612711.795292769,history
2012-11-01,-70821.0,-136160.88804470468,-1855951.5449847402,1583629.7688953308,history
2012-12-01,-70821.0,31674.88658351777,-1688115.7703565178,1751465.5435235533,history
2013-01-01,-140712.0,18985.326184400357,-1700805.3307556352,1738775.9831244359,history
2013-02-01,-140712.0,-194122.89828918176,-1913913.5552292173,1525667.7586508538,history
2013-03-01,-140712.0,48118.596514199395,-1671672.0604258361,1767909.253454235,history
2013-04-01,639775.3333333334,433113.5266920547,-1286677.1302479808,2152904.18363209,history
2013-05-01,639775.3333333334,835892.0942134983,-883898.5627265372,2555682.751153534,history
2013-06-01,639775.3333333334,651574.7026492795,-1068215.954290756,2371365.359589315,history
2013-07-01,951734.6666666666,837112.9617684362,-882677.6951715993,2556903.618708472,history
2013-08-01,951734.6666666666,892903.5239606118,-826887.1329794237,2612694.1809006473,history
2013-09-01,951734.6666666666,741452.7225416582,-978337.9343983773,2461243.3794816937,history
2013-10-01,2432314.6666666665,283257.3760891692,-1436533.2808508663,2003048.0330292047,history
2013-11-01,2432314.6666666665,1534529.312571527,-185261.34436850855,3254319.9695115625,history
2013-12-01,2432314.6666666665,1356383.6020880323,-363407.05485200323,3076174.259028068,history
2014-01-01,134515.0,1126376.7404431915,-593413.916496844,2846167.397383227,history
2014-02-01,134515.0,-564212.8021037932,-2284003.459043829,1155577.8548362423,history
2014-03-01,134515.0,28947.551122123376,-1690843.1058179121,1748738.208062159,history
2014-04-01,971695.0,787348.1692341976,-932442.4877058379,2507138.826174233,history
2014-05-01,971695.0,972921.7891970947,-746868.8677429408,2692712.4461371303,history
2014-06-01,971695.0,704109.391513282,-1015681.2654267536,2423900.0484533175,history
2014-07-01,861937.0,792583.9963538013,-927206.6605862342,2512374.653293837,history
2014-08-01,861937.0,724701.5219076243,-995089.1350324112,2444492.17884766,history
2014-09-01,861937.0,697268.6336331875,-1022522.023306848,2417059.290573223,history
2014-10-01,273.6666666666667,255906.0099992021,-1463884.6469408334,1975696.6669392376,history
2014-11-01,273.6666666666667,-48550.58455027826,-1768341.2414903138,1671240.0723897573,history
2014-12-01,273.6666666666667,521273.85689267283,-1198516.8000473627,2241064.5138327084,history
2015-01-01,953607.6666666666,423808.24483756814,-1295982.4121024674,2143598.9017776037,history
2015-02-01,953607.6666666666,1086773.7517772624,-633016.9051627731,2806564.408717298,history
2015-03-01,953607.6666666666,831226.4120992203,-888564.2448408152,2551017.069039256,history
2015-04-01,1681775.6666666667,1263850.9109034995,-455939.74603653606,2983641.567843535,history
2015-05-01,1681775.6666666667,1361359.0205279104,-358431.6364121251,3081149.677467946,history
2015-06-01,1681775.6666666667,1285463.9725646772,-434326.6843753583,3005254.6295047128,history
2015-07-01,3071906.3333333335,1890355.4655784657,170564.8086384302,3610146.1225185012,history
2015-08-01,3071906.3333333335,2613229.249139623,893438.5921995873,4333019.906079658,history
2015-09-01,3071906.3333333335,2214972.405176452,495181.7482364164,3934763.0621164874,history
2015-10-01,2244022.3333333335,1663219.9343794896,-56570.722560545895,3383010.591319525,history
2015-11-01,2244022.3333333335,1415261.4503126838,-304529.2066273517,3135052.1072527193,history
2015-12-01,2244022.3333333335,1740361.8165296214,20571.159589585848,3460152.473469657,history
2016-01-01,1054068.0,1663699.7682594522,-56090.88868058333,3383490.4251994877,history
2016-02-01,1054068.0,763874.843829304,-955915.8131107315,2483665.5007693395,history
2016-03-01,1054068.0,1065811.1505951323,-653979.5063449033,2785601.807535168,history
2016-04-01,1575296.6666666667,1493703.6452684477,-226087.01167158782,3213494.302208483,history
2016-05-01,1575296.6666666667,1432487.2589659006,-287303.3979741349,3152277.915905936,history
2016-06-01,1575296.6666666667,1359854.440157196,-359936.2167828395,3079645.0970972315,history
2016-07-01,1281196.0,1454391.7619942408,-265398.8949457947,3174182.4189342763,history
2016-08-01,1281196.0,1157218.0264644017,-562572.6304756338,2877008.6834044373,history
