date,Actual,OLS_Pred,ARIMAX_Pred,regime
2020-01-01,-1912013.956690071,831941.1478025905,1078784.762363268,2020+
2020-02-01,-1753814.2115825776,884252.5652522191,979217.0023818762,2020+
2020-03-01,-1558712.8317273518,1106026.4930921544,1173759.371028005,2020+
2020-04-01,-3219656.4738150435,996100.3937737145,1137585.2009366928,2020+
2020-05-01,-3664191.974930728,862972.4146216561,1201865.9812034662,2020+
2020-06-01,-4228874.55125423,627485.6053345163,1233101.2458969515,2020+
2020-07-01,-3873287.605651903,388324.4375764697,1288667.202468737,2020+
2020-08-01,-4227825.573815773,188123.4400268726,1269475.8330894087,2020+
2020-09-01,-3652459.8205323233,99478.40548044849,1135545.9120051889,2020+
2020-10-01,-2145263.257984922,156234.61574690123,1175056.3066377572,2020+
2020-11-01,-2336072.1498916107,298817.0192881247,1109823.269635773,2020+
2020-01-01,-1912013.956690071,853089.9853515942,1077554.1352649322,2020+
2020-02-01,-1753814.2115825776,904241.9847131646,978099.9571227769,2020+
2020-03-01,-1558712.8317273518,1132342.5331587645,1172420.4007566252,2020+
2020-04-01,-3219656.4738150435,1024630.558328468,1136287.4968205646,2020+
2020-05-01,-3664191.974930728,896230.5087868659,1200494.9489211922,2020+
2020-06-01,-4228874.55125423,663857.309323109,1231694.5825361754,2020+
2020-07-01,-3873287.605651903,427056.7723665199,1287197.1526965422,2020+
2020-08-01,-4227825.573815773,225185.8712211186,1268027.6763000183,2020+
2020-09-01,-3652459.8205323233,130293.43925863516,1134250.53604998,2020+
2020-10-01,-2145263.257984922,184936.29367467904,1173715.858907675,2020+
2020-11-01,-2336072.1498916107,322990.79021232156,1108557.2363316517,2020+
2020-12-01,-2496568.5921234675,567005.4961152029,1187332.8203122225,2020+
2020-02-01,-1753814.2115825776,-1349793.215988483,-1660585.1181107734,2020+
2020-03-01,-1558712.8317273518,-1572490.144239195,-1990495.8132626116,2020+
2020-04-01,-3219656.4738150435,-1587175.7189292389,-1929150.5877557285,2020+
2020-05-01,-3664191.974930728,-1843119.991281388,-2038159.8343676254,2020+
2020-06-01,-4228874.55125423,-2122276.0322539425,-2091129.520047679,2020+
2020-07-01,-3873287.605651903,-2462683.487720777,-2185359.9116944927,2020+
2020-08-01,-4227825.573815773,-2609956.149096279,-2152814.6212026067,2020+
2020-09-01,-3652459.8205323233,-2407826.775223382,-1925692.3044621695,2020+
