date,Actual_pl_per_asm,Forecast_pl_per_asm
2019-08-01,0.013955288334874652,0.02157718378093438
2019-09-01,0.013955288334874652,0.025589344443442824
2019-10-01,0.011225162197241578,0.018528832582132983
2019-11-01,0.011225162197241576,0.009239374741737395
2019-12-01,0.011225162197241576,0.005904651567255448
2020-01-01,-0.019079466722919457,0.006676325183696683
2020-02-01,-0.01907946672291946,0.013096864824789636
2020-03-01,-0.01907946672291946,0.013394164017500931
2020-04-01,-0.15439774445017765,0.017107863147128553
2020-05-01,-0.15439774445017765,0.017526839447478633
2020-06-01,-0.15439774445017765,0.018823822889249598
2019-08-01,0.013955288334874652,0.017648078941554603
2019-09-01,0.013955288334874652,0.013973955165563066
2019-10-01,0.011225162197241578,0.008093932618973777
2019-11-01,0.011225162197241576,0.00273984700817434
2019-12-01,0.011225162197241576,0.005062930168730859
